id,ra_deg,dec_deg,mag,pm_ra_mas_yr,pm_dec_mas_yr,common_name
2087,6.590892,49.049007,6.940,-2.07,-6.46,
2100,6.655722,-0.049536,6.160,69.63,1.49,
2101,6.664377,56.641207,6.580,14.85,0.05,
2106,6.674638,-69.307055,6.980,54.31,-22.46,
2135,6.768786,25.042108,6.660,102.06,-16.89,
2142,6.780451,80.052148,6.530,23.37,-2.91,
2151,6.801859,49.985730,6.950,4.06,-1.89,
2159,6.811197,-25.547133,5.990,32.93,-15.26,
2178,6.879229,16.025459,6.440,89.80,9.88,
2184,6.906408,-20.134536,6.780,59.55,4.96,
2210,6.982136,-33.007045,4.860,-20.48,-50.39,
2213,6.993666,19.514081,6.400,-22.30,-17.33,
2219,7.011852,17.893075,5.010,114.91,20.48,
2224,7.052886,16.445101,6.050,18.37,-14.57,
2225,7.056605,44.394489,5.180,84.10,-15.33,
2227,7.058938,-29.040206,6.750,-44.83,-26.99,
2235,7.083467,10.190341,6.050,32.79,-203.14,
2237,7.088207,-20.334777,6.440,-118.11,-112.69,
2240,7.110073,-39.914902,5.420,135.95,-41.36,
2243,7.119123,32.437792,6.870,-26.66,-19.52,
2246,7.138140,-11.237219,6.860,98.96,-10.24,
2256,7.179087,-50.532846,6.260,159.44,-5.33,
2270,7.236105,36.899701,6.280,-4.42,-2.76,
2304,7.346350,-40.665412,6.820,22.13,-7.85,
2312,7.372230,-3.469288,6.950,37.84,4.49,
2320,7.400263,62.064167,7.000,54.36,-5.77,
2323,7.412556,-2.840326,6.890,90.88,-40.26,
2330,7.454137,-32.115926,6.590,13.12,-22.97,
2337,7.465869,-14.864027,6.150,147.08,-33.98,
2353,7.509804,-3.957297,5.720,8.61,-14.51,
2355,7.530566,29.751696,5.200,43.56,-57.18,
2358,7.536234,4.860076,6.520,-18.62,14.50,
2377,7.582974,59.977564,5.940,16.26,-3.94,
2381,7.594463,-23.787714,5.170,-26.95,13.97,
2383,7.608228,-48.214698,5.670,163.44,-87.30,
2388,7.615949,-40.939625,6.180,-3.25,16.16,
2392,7.621946,-39.518358,6.600,54.71,-77.88,
2415,7.696540,16.037615,6.830,-29.98,-1.31,
2422,7.725816,77.019488,6.180,340.40,-34.36,
2431,7.749621,-10.084653,6.860,-28.76,-19.50,
2440,7.766151,55.702821,6.570,91.95,-84.87,
2455,7.803767,43.946552,6.760,4.05,-5.09,
2472,7.853567,-48.803562,4.760,140.74,19.47,
2474,7.855008,66.519627,6.180,19.38,-3.87,
2475,7.856688,33.581682,5.880,49.61,-16.26,
2484,7.885670,-62.958085,4.360,82.48,-54.37,
2487,7.888980,-62.965450,4.530,87.95,-45.79,
2490,7.900371,16.021016,6.890,-3.35,-40.28,
2491,7.905664,9.161216,6.990,-13.55,-5.96,
2497,7.921712,52.839558,5.590,-55.33,-13.14,
2505,7.942991,54.522325,4.740,40.78,-14.81,
2517,7.978669,19.642958,6.870,4.81,2.85,
2537,8.047426,53.815111,6.940,-7.54,-2.82,
2539,8.058517,34.993943,6.740,11.43,-23.53,
2548,8.098979,6.955455,5.690,45.91,3.54,
2553,8.111610,43.494817,6.690,19.88,-9.59,
2557,8.125056,51.728262,6.940,-13.04,-2.53,
2560,8.133014,18.795072,6.790,-12.74,-77.91,
2565,8.144028,27.580777,6.680,-2.48,-7.53,
2568,8.147503,20.294433,5.380,136.81,-48.10,
2572,8.164126,-25.359582,6.720,-5.78,-54.37,
2573,8.164440,23.193369,6.840,128.70,23.64,
2576,8.180054,38.843826,6.900,-17.84,-22.49,
2578,8.182476,-63.031379,5.070,86.15,-49.85,
